Heat Pipe Width,Heat Pipe Thickness,Heat Load (W),Heat Flux (W/cm2),Heat Pipe Diameter,Evaporator Length,Condenser Length,Adiabatic Length,Fill Ratio,Air Velocity,Ambient Temperature,Maximum Temperature,Effective Thermal Conductivity,Working Fluid_Acetone,Working Fluid_Ammonia,Working Fluid_Methanol,Working Fluid_Water,Heat Pipe Material_Aluminum,Heat Pipe Material_Copper,Wick Structure_Grooved,Wick Structure_Wire Mesh,Wick Material_Aluminum,Wick Material_Copper,Orientation_Anti-Gravity (Top Heat),Orientation_Horizontal,Orientation_Vertical (Bottom Heat),Cooling Method_Forced Convection,Cooling Method_Natural Convection,Is_Flat,Target_Thermal_Resistance,Dataset_Split
0,0,-0.3241758242,0.06259464917,0.5,-0.7598253275,-0.7902350814,-0.8687258687,0.3852242744,0.862745098,0.6539923954,0.6119402985,-0.5992217319,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0.006481997602,train
1.155660377,1.333333333,-0.6615384615,-0.5875820293,0.5,-0.02620087336,-0.08499095841,-0.4536679537,-0.6121372032,1.137254902,-0.3346007605,-0.4253731343,-0.1215900184,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-0.1428704798,train
0.7641509434,1.291666667,-0.04285714286,0.619888945,0,-0.6870451237,-0.6039783002,-0.1486486486,-0.4854881266,-0.3921568627,0.7300380228,0.7014925373,-0.3844056707,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,-0.02828476313,train
0.2358490566,1.041666667,0.6989010989,0.9439676931,-1,0.6579330422,0.2513562387,1.162162162,-0.1635883905,-0.3921568627,0.288973384,0.5,0.891912529,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0.09610370687,train
0.2971698113,0.8333333333,1.141758242,0.8601716305,-1,1.374090247,1.499095841,0.3957528958,0.8284960422,0.1960784314,0.5855513308,0.6865671642,1.530277697,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,-0.04147272254,train
1.33490566,0.4166666667,0.5021978022,0.6219081272,-0.5,0.1106259098,0.9403254973,0.6158301158,-0.9709762533,1.019607843,-0.7452471483,-0.7611940299,0.8595730814,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,-0.1162326484,train
0,0,0.7989010989,0.1474003029,0,0.7423580786,1.244122966,1.027027027,0.5751978892,0.3921568627,0.9657794677,0.8955223881,1.557788645,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,-0.1543094039,train
0,0,-0.3505494505,0.1120646138,-0.5,-0.4949053857,-0.6708860759,-0.8706563707,0.9498680739,1.137254902,-0.6844106464,-0.723880597,-0.3847177021,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,-0.02922615847,train
0.3396226415,1.625,-0.6604395604,-0.4704694599,-0.5,-0.326055313,-0.07594936709,-0.2606177606,-0.4802110818,0.5882352941,-0.7452471483,-0.8134328358,-0.3034500239,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0.005544012286,train
0,0,-0.2824175824,-0.1867743564,-0.5,0.1892285298,0.1699819168,0.2355212355,-0.8021108179,-0.3921568627,0.09125475285,0.02985074627,0.616544268,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,-0.08587982308,train
0.7028301887,0.7916666667,-0.7263736264,-0.6340232206,-0.5,0.9636098981,0.8481012658,0.9285714286,0.9234828496,-0.3921568627,0.174904943,0.07462686567,0.985362212,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,-0.06506789527,train
0.5330188679,1.041666667,-0.3868131868,-0.4603735487,-0.5,1.350800582,1.323688969,0.4980694981,0.01583113456,-0.3921568627,0.7300380228,0.6417910448,1.246053282,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,-0.09156365812,train
0.429245283,1.291666667,1.010989011,3.076224129,-0.5,-0.6259097525,-0.6292947559,-0.527027027,-0.5857519789,-0.3921568627,0.3574144487,0.5447761194,-0.3673557627,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0.0289661405,train
0,0,-0.3791208791,0.01514386673,0,-0.6579330422,-0.8245931284,-0.5926640927,0.290237467,0.7058823529,0.02281368821,0,-0.5441987715,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0.06072862414,train
0,0,0.778021978,1.365976779,0,-0.4890829694,-0.7504520796,-0.7992277992,0.2216358839,0.5098039216,-0.7984790875,-0.7537313433,-0.4238142806,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,-0.07925294104,train
3.367924528,0.4583333333,-0.08241758242,-0.4310954064,0.5,1.114992722,1.12477396,0.7876447876,-0.4116094987,0.7058823529,0.05323193916,-0.03731343284,1.474977849,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,-0.1667170027,train
0,0,0.8934065934,1.568904594,0.5,-0.6695778748,-0.6311030741,0.01351351351,0.3007915567,0.8235294118,0.5475285171,0.5597014925,-0.4010232075,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,-0.09345901935,train
0,0,-0.2307692308,-0.4432104997,0.5,0.7161572052,1.063291139,0.005791505792,1.039577836,-0.3921568627,-0.8745247148,-0.947761194,0.7346529529,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,-0.1562172197,train
0,0,-0.5527472527,-0.471479051,0.5,-0.288209607,-0.02169981917,0.333976834,-0.7229551451,0.3529411765,-0.4106463878,-0.4925373134,-0.08137097874,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,-0.1362040756,train
0.3726415094,0.6666666667,-0.5010989011,-0.2453306411,-1,0.1834061135,-0.02169981917,-0.4073359073,0.1002638522,-0.3921568627,0.8365019011,0.7686567164,0.4266491872,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0.0289661405,train
0,0,0.2659340659,1.242806663,-0.5,-0.5211062591,-0.904159132,-0.7162162162,0.4802110818,-0.3921568627,0.8136882129,1.02238806,-0.5040031608,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0.2280672948,train
0,0,0.06153846154,-0.139323574,0.5,0.04366812227,-0.2025316456,-0.4575289575,0.4432717678,-0.3921568627,-0.4106463878,-0.4626865672,-0.1040033738,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,-0.1257376601,train
0.9481132075,1.625,0.778021978,1.54770318,0.5,-0.7074235808,-0.5515370705,-0.611969112,0.2216358839,0.9019607843,-0.4942965779,-0.3955223881,-0.5635489793,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,-0.02452010651,train
1.183962264,0.8333333333,0.9692307692,0.4179707219,0,0.4017467249,-0.05786618445,0.5250965251,0.9762532982,0.5882352941,-0.1520912548,-0.1268656716,0.1126273685,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,-0.09819906348,train
0,0,0.5483516484,-0.1272084806,0,1.272197962,0.4936708861,0.971042471,-0.8759894459,-0.3921568627,-0.5551330798,-0.6044776119,1.9610621,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,-0.1476350386,train
0,0,-0.3461538462,0.2523977789,0,-0.7860262009,-0.5443037975,-0.7548262548,-0.3852242744,1.176470588,-0.5551330798,-0.5671641791,-0.5729503902,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0.05699732198,train
0,0,-0.4945054945,-0.4008076729,0.5,-0.3697234352,-0.7323688969,-0.4517374517,-0.5118733509,-0.3921568627,0.7680608365,0.6940298507,-0.4841971527,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,-0.009476254942,train
0.3301886792,0.75,-0.08021978022,1.181221605,-1,-0.480349345,-0.1175406872,-0.4324324324,0.4854881266,0.9019607843,0.174904943,0.2985074627,-0.3567019663,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0.2326486802,train
0.9103773585,1.083333333,-0.07802197802,-0.3715295305,0,1.164483261,1.202531646,0.3648648649,-0.1266490765,-0.3921568627,-0.6311787072,-0.7014925373,1.695945082,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,-0.1514483923,train
3.367924528,0.4583333333,-0.5505494505,-0.5875820293,0.5,0.9170305677,0.1103074141,0.5926640927,-0.8918205805,0.5882352941,0.4562737643,0.3507462687,0.9395479059,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,-0.1600339914,train
0,0,0.4428571429,0.3573952549,0,-0.03493449782,0.05605786618,-0.1158301158,0.5857519789,-0.3921568627,-0.2813688213,-0.3059701493,0.09685646981,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,-0.1105341643,train
0,0,0.4307692308,1.33064109,0,-0.6579330422,-0.6853526221,-0.3706563707,0.8126649077,-0.3921568627,-0.463878327,-0.2910447761,-0.516866736,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0.1007486146,train
0.4433962264,1.25,-0.5967032967,-0.4926804644,-0.5,0.2561863173,0.130198915,-0.2316602317,0.3324538259,0,0.2509505703,0.1641791045,0.0006666609869,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,-0.05373496029,train
0,0,-0.4483516484,0.323069157,-0.5,-0.8034934498,-0.7287522604,-0.750965251,0.6121372032,0.431372549,0.9201520913,0.8582089552,-0.4944175129,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0.04299198256,train
1.028301887,1.5,0.3835164835,1.920242302,0.5,-0.922852984,-0.8408679928,-0.7162162162,-0.6649076517,-0.3921568627,0.7148288973,0.8955223881,-0.616911677,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0.149846687,train
3.08490566,0.5,-0.6,-0.5310449268,0.5,-0.1572052402,0,-0.6196911197,0.437994723,0.1568627451,-0.8821292776,-0.9552238806,-0.4018016886,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,-0.09819906348,train
0,0,-0.3912087912,-0.3876829884,-0.5,0.6812227074,0.9710669078,1.223938224,0.3430079156,-0.3921568627,-0.8897338403,-0.9402985075,0.8688807763,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,-0.06412297185,train
0,0,0.3604395604,1.968702675,-0.5,-0.6870451237,-0.8119349005,-0.5231660232,-0.9393139842,0.3137254902,-0.1825095057,0.02985074627,-0.5191233728,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0.1756840742,train
0,0,0.9582417582,0.1585058051,0.5,0.4687045124,0.8372513562,-0.01737451737,-0.2216358839,-0.3921568627,-0.4030418251,-0.4402985075,0.482123688,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,-0.1495415257,train
0,0,0.9054945055,0.9601211509,0,-0.2037845706,0.4755877034,-0.07722007722,-0.1794195251,-0.3921568627,0.7452471483,0.7388059701,0.05007092591,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,-0.1057880152,train
0,0,0.7351648352,-0.03634528016,0.5,0.7103347889,0.7522603978,0.833976834,0.04749340369,1.137254902,0.9201520913,0.8358208955,1.001417453,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,-0.1628975683,train
0,0,0.4989010989,0.2301867744,0.5,-0.096069869,0.2133815552,-0.3069498069,0.7493403694,0.7058823529,-0.3726235741,-0.3880597015,-0.3226979962,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.1095847463,train
0,0,0.489010989,0.2897526502,-0.5,0.576419214,0.103074141,1.027027027,0.4591029024,-0.3921568627,-0.752851711,-0.7537313433,1.424049635,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,-0.1019927879,train
0,0,0.4571428571,1.439676931,0,-0.6783114993,-0.7631103074,-0.6177606178,-0.327176781,0.3137254902,-0.3422053232,-0.2164179104,-0.5480347345,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0.05233114988,train
0,0,-0.6791208791,-0.602725896,0.5,0.02037845706,0.321880651,0.2644787645,0.1477572559,-0.3921568627,0.6159695817,0.5074626866,0.1538772833,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,-0.1343002403,train
0,0,-0.3263736264,-0.401817264,0.5,0.133915575,0.9258589512,1.142857143,-0.7968337731,-0.3921568627,-0.2433460076,-0.3134328358,0.07295145515,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,-0.1057880152,train
0,0,-0.1846153846,-0.4331145886,0,1.321688501,1.227848101,0.4961389961,0.9234828496,0.3137254902,0.07604562738,0,0.8893555752,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.1381082893,train
0,0,-0.7164835165,-0.602725896,-0.5,0.2794759825,1.056057866,0.3455598456,0.6649076517,-0.3921568627,-0.433460076,-0.5223880597,0.2998739095,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,-0.03958761658,train
3.367924528,0.4583333333,-0.6494505495,-0.5805148915,0.5,-0.01746724891,-0.2622061483,-0.4845559846,0.9868073879,-0.3921568627,0.2357414449,0.1343283582,-0.1499412146,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,-0.1219345238,train
0,0,-0.6934065934,-0.5603230692,0.5,-0.5211062591,-0.5967450271,-0.6138996139,0.08970976253,0.431372549,0.03041825095,-0.0671641791,-0.4283733472,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,-0.1105341643,train
0,0,0.5692307692,1.121655729,0,-0.500727802,-0.6202531646,-0.7393822394,0.09498680739,0.1176470588,0.5247148289,0.6044776119,-0.5124343989,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.003840894915,train
0,0,-0.5120879121,-0.4472488642,0.5,-0.250363901,0.2097649186,-0.2200772201,0.005277044855,0.6666666667,0.3269961977,0.2313432836,-0.1495056485,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,-0.1371561351,train
0.9481132075,1.625,1.116483516,0.2251388188,0.5,0.4861717613,0.1681735986,1.332046332,0.9709762533,-0.3921568627,-0.8365019011,-0.8059701493,0.2327828943,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,-0.1114836763,train
0,0,-0.1615384615,-0.06057546694,0,-0.2096069869,0.5587703436,0.04826254826,-0.3166226913,-0.3921568627,0.7148288973,0.6641791045,-0.2204709651,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,-0.04524404752,train
0,0,0.7153846154,0.1564866229,0,0.6142649199,0.7938517179,0.3822393822,0.1794195251,0.7450980392,0.09885931559,0.08208955224,0.3142646282,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,-0.1162326484,train
0,0,-0.6131868132,-0.5986875315,0.5,0.5997088792,0.7341772152,0.4498069498,-0.8496042216,0.7450980392,-0.5931558935,-0.6791044776,0.7428179526,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,-0.1619429476,train
1.54245283,1,-0.6274725275,-0.5421504291,0.5,-0.2270742358,-0.4032549729,0.3629343629,-0.8284960422,0.6274509804,-0.7680608365,-0.8432835821,-0.321345505,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,-0.0830391695,train
0,0,-0.5868131868,-0.5492175669,0.5,0.08151382824,-0.1699819168,-0.3127413127,0.5065963061,1.019607843,-0.3954372624,-0.4850746269,-0.03867166201,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,-0.1419178523,train
0.3349056604,1.666666667,-0.6417582418,-0.5683997981,-0.5,0.7132459971,0.7341772152,1.561776062,-0.9762532982,-0.3921568627,0.6692015209,0.5671641791,0.9691163441,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,-0.06223340455,train
0.2971698113,0.8333333333,0.9923076923,1.868753155,-1,0.1892285298,0.2314647378,-0.07722007722,0.1372031662,0.03921568627,-0.783269962,-0.6567164179,0.658502377,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-0.02828476313,train
0,0,-0.3791208791,-0.3149924281,-0.5,0.3347889374,0.4068716094,1.596525097,-0.1952506596,-0.3921568627,0.5855513308,0.5223880597,0.5893006236,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,-0.03205089958,train
0.9528301887,0.5833333333,1.101098901,0.864209995,-0.5,0.4366812227,0.3887884268,-0.4131274131,0.6437994723,0.7058823529,0.09125475285,0.08955223881,0.604412316,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-0.1209839755,train
0,0,-0.7263736264,-0.6572438163,0.5,1.138282387,1.077757685,0.1254826255,1.055408971,0.3137254902,0.9505703422,0.828358209,1.159252104,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,-0.1676720992,train
0,0,-0.1307692308,0.1120646138,-0.5,-0.1048034934,-0.3182640145,0.3938223938,-0.8284960422,1.137254902,0.897338403,0.8358208955,0.2953542462,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,-0.07736038775,train
2.316037736,0.6666666667,-0.532967033,-0.5310449268,0.5,0.2096069869,0.5244122966,1.144787645,0.01055408971,0.5098039216,0.5931558935,0.4850746269,0.5940545767,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,-0.1533556384,train
1.424528302,1.083333333,-0.6252747253,-0.6148409894,0.5,0.8908296943,0.582278481,-0.09652509653,0.5329815303,0.862745098,0.6615969582,0.552238806,0.7215934263,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,-0.1638522842,train
0,0,-0.6472527473,-0.5784957092,-0.5,0.8442503639,0.383363472,0.7972972973,0.005277044855,-0.3921568627,-0.02281368821,-0.1194029851,1.72494803,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,-0.1143327771,train
0,0,-0.6461538462,-0.2069661787,-1.25,-0.3377001456,-0.5696202532,-0.7335907336,-0.7440633245,0.7843137255,0.6311787072,0.6268656716,-0.4390303384,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0.721068881,train
0.3301886792,0.75,-0.6527472527,-0.4169611307,-1,-0.06404657933,-0.1790235081,0.8416988417,-0.8073878628,-0.3921568627,0.09125475285,0.01492537313,0.6835660612,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0.06911874474,train
0.7405660377,1.333333333,-0.4098901099,-0.4169611307,0,0.2678311499,0.3815551537,1.027027027,0.6332453826,0.9411764706,0.2509505703,0.171641791,0.2052900508,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,-0.1000957379,train
0,0,1.125274725,1.836446239,-0.5,-0.2241630277,-0.06871609403,0.5193050193,0.4696569921,0.4705882353,0.5779467681,0.723880597,-0.1151800624,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,-0.006658160605,train
0,0,-0.5230769231,-0.5209490156,0.5,0.1659388646,0.3942133816,1.938223938,-0.2110817942,0.6666666667,0.6768060837,0.5671641791,0.7701041951,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,-0.1533556384,train
0,0,0.332967033,-0.236244321,0.5,0.8500727802,0.7377938517,0.2258687259,-1.034300792,-0.3921568627,-0.03041825095,-0.1044776119,0.8679638512,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,-0.1562172197,train
0.7641509434,1.291666667,1.137362637,2.610802625,0,-0.6841339156,-0.6238698011,-0.4942084942,-0.7387862797,-0.3921568627,-0.01520912548,0.2910447761,-0.5318027109,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0.0979619402,train
1.481132075,1.041666667,-0.06923076923,-0.09187279152,0.5,-0.250363901,0.3381555154,0.3185328185,-0.8707124011,-0.3921568627,-0.5779467681,-0.6044776119,-0.2851030023,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,-0.07263063942,train
0.9858490566,1,0.2593406593,0.1716304897,0,0.01455604076,-0.103074141,-0.003861003861,0.1319261214,0.7843137255,-0.8897338403,-0.8880597015,-0.1909781386,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,-0.07925294104,train
0,0,0.8450549451,2.168601716,-1,-0.07860262009,0.08499095841,0.4845559846,0.3799472296,0.3921568627,-0.4714828897,-0.328358209,0.5796116753,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0.002729505242,train
2.179245283,0.7083333333,-0.2989010989,-0.4644119132,0.5,0.6462882096,0.09584086799,0.7413127413,-1.018469657,0.5098039216,0.4030418251,0.3059701493,0.7637751755,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,-0.1571712701,train
0,0,0.4868131868,0.9661786976,-1,0.3580786026,0,1.092664093,-0.4168865435,-0.3921568627,-0.6463878327,-0.5447761194,1.405204216,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0.01304532486,train
0.7405660377,1.333333333,-0.5582417582,-0.3149924281,0,-0.5880640466,-0.73960217,-0.3590733591,0.4907651715,-0.3921568627,-0.144486692,-0.1940298507,-0.5000841313,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0.07284533016,train
0,0,-0.6483516484,-0.3796062595,-0.5,-0.5618631732,-0.6708860759,-0.5752895753,-1.018469657,0.9411764706,0.6463878327,0.552238806,-0.3496519731,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,-0.01229517842,train
0,0,-0.3879120879,-0.1898031297,0.5,-0.5880640466,-0.1537070524,-0.1737451737,1.060686016,0.5882352941,-0.8136882129,-0.8582089552,-0.4827722448,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.05939975214,train
0,0,-0.7153846154,-0.5754669359,0.5,-0.5822416303,-0.5678119349,-0.8359073359,0.06860158311,1.058823529,0.5931558935,0.4850746269,-0.5581262353,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.04524404752,train
1.580188679,0.625,-0.4340659341,-0.4442200909,0,0.3406113537,-0.1157323689,-0.1602316602,0.6754617414,-0.3921568627,0.8669201521,0.7686567164,0.3171751465,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,-0.1162326484,train
1.127358491,0.875,-0.05934065934,-0.3170116103,0,0.8500727802,1.314647378,0.6525096525,0.6437994723,-0.3921568627,0.7680608365,0.6940298507,0.6255260871,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,-0.1124332824,train
0,0,0.6593406593,0.593639576,0.5,-0.3347889374,-0.4267631103,-0.1351351351,-0.8601583113,0.1568627451,-0.08365019011,-0.1044776119,-0.2467710605,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,-0.1219345238,train
1.089622642,1.416666667,-0.4472527473,-0.5007571933,0.5,0.3551673945,0.3779385172,-0.0250965251,0.08443271768,-0.3921568627,0.1673003802,0.07462686567,0.3107705153,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,-0.1457289308,train
0,0,0.6087912088,0.4634023221,-0.5,0.4395924309,-0.2549728752,0.05791505792,-0.04221635884,-0.3921568627,-0.4486692015,-0.4253731343,0.670588536,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,-0.07830661766,train
0,0,-0.2857142857,0.4169611307,-0.5,-0.6375545852,-0.4104882459,-0.1640926641,0.6860158311,0.8235294118,-0.8060836502,-0.828358209,-0.2809645924,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,-0.01793551472,train
0.9481132075,1.625,-0.2571428571,0.02725896012,0.5,-0.6521106259,-0.417721519,-0.444015444,-0.4591029024,0.3529411765,0.8745247148,0.8134328358,-0.5334682985,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,-0.03864520268,train
0,0,-0.467032967,-0.2655224634,0,-0.442503639,-0.5406871609,-0.07335907336,0.3852242744,0.9019607843,-0.4258555133,-0.4776119403,-0.4117440959,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,-0.01887589368,train
0.9481132075,1.625,-0.5868131868,-0.514891469,0.5,-0.2008733624,0.04339963834,-0.2722007722,-0.6068601583,-0.3921568627,-0.4866920152,-0.5671641791,-0.1532052975,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,-0.1209839755,train
0.7405660377,1.333333333,0.8714285714,0.1726400808,0,0.7714701601,1.292947559,0.5154440154,0.6385224274,0.03921568627,-0.6920152091,-0.7388059701,1.353463442,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,-0.1571712701,train
0.7641509434,1.291666667,-0.4857142857,-0.5421504291,0,1.08588064,0.424954792,0.5463320463,-0.9656992084,0.8235294118,-0.5323193916,-0.6119402985,0.5968575348,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,-0.1257376601,train
0,0,-0.2461538462,-0.4674406865,0.5,0.8791848617,0.3471971067,1.256756757,0.1213720317,-0.3921568627,-0.5779467681,-0.6567164179,1.257106436,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,-0.1524019679,train
