Heat Load (W),Heat Flux (W/cmÂ²),Heat Pipe Length,Heat Pipe Diameter,Heat Pipe Width,Heat Pipe Thickness,Evaporator Length,Condenser Length,Adiabatic Length,Working Fluid,Heat Pipe Material,Wick Structure,Wick Material,Fill Ratio,Orientation,Cooling Method,Air Velocity,Ambient Temperature,Maximum Temperature,Average Temperature,Thermal Resistance,Effective Thermal Conductivity,Pressure Drop,Efficiency
67.8,3.8,264.1,8,41.9,1.2,70.9,90.7,102.5,Methanol,Aluminum,Grooved,Aluminum,41.4,Vertical (Bottom Heat),Natural Convection,0,38,38.8,38.5,0.0113,964744,,
97.3,5.97,291.8,8,22.8,2.2,64.9,91.7,135.2,Water,Copper,Grooved,Copper,36.9,Vertical (Bottom Heat),Forced Convection,3.7,33.9,34.5,34.2,0.0057,1741063,,97.3
80.3,8.94,131.7,10,,,28.6,51.2,51.9,Acetone,Copper,Grooved,Copper,68.6,Vertical (Bottom Heat),Natural Convection,0,20.6,21.5,21,0.0113,279740,,
58.1,3.6,319.7,10,,,51.4,112.3,156,Methanol,Copper,Grooved,Copper,61.6,Vertical (Bottom Heat),Forced Convection,3.9,33.2,33.5,33.3,0.0045,1302675,,97.9
58.3,2.64,238,10,26.2,3,70.4,79.8,87.8,Water,Copper,Grooved,Copper,47.4,Horizontal,Natural Convection,0,32.9,33.2,33.1,0.0055,1222664,89461307.1,
6,0.72,259.2,4,,,66.2,89,104,Ammonia,Copper,Grooved,Copper,38.4,Horizontal,Forced Convection,2.6,41.5,41.6,41.5,0.0147,2056938,37011634.1,96.4
150.4,27.51,227.9,4,5.5,2.3,43.5,85.9,98.5,Water,Copper,Grooved,Copper,50,Horizontal,Forced Convection,1.6,40.7,43.7,41.7,0.0197,1214991,604348594.3,96.5
147.1,15.3,124.5,10,,,30.6,40.3,53.6,Water,Copper,Grooved,Copper,61.2,Vertical (Bottom Heat),Forced Convection,3.7,34.2,35.6,34.8,0.0095,290522,,
121.4,16.06,226.4,6,,,40.1,111.4,74.9,Water,Aluminum,Grooved,Aluminum,33.5,Vertical (Bottom Heat),Forced Convection,3.7,25.2,27.3,25.7,0.0171,536981,,
90.9,4.61,302.1,10,,,62.7,147.7,91.7,Water,Aluminum,Grooved,Aluminum,36,Horizontal,Forced Convection,3.4,31,31.6,31.2,0.0064,778359,159753947.6,
63.9,5.78,221,6,,,58.7,87.2,75.1,Methanol,Aluminum,Grooved,Aluminum,58.9,Vertical (Bottom Heat),Natural Convection,0,26.2,27.4,26.8,0.0187,771753,,97.3
8.5,2.13,198,4,,,31.8,66.9,99.3,Water,Aluminum,Grooved,Aluminum,54.7,Vertical (Bottom Heat),Natural Convection,0,25.2,25.7,25.4,0.0567,478379,,
17.2,0.92,328.1,10,41.3,1.9,59.2,160.9,108,Water,Aluminum,Grooved,Aluminum,41.5,Vertical (Bottom Heat),Natural Convection,0,41.5,41.6,41.5,0.008,813849,,
77.7,4.08,243.7,10,34.1,2.3,60.6,86,97.1,Methanol,Aluminum,Grooved,Aluminum,30.2,Vertical (Bottom Heat),Forced Convection,1.2,42.8,43.4,43.1,0.0077,650415,,
154.6,56.18,88.3,6,20.2,1.4,14.6,28.7,45,Methanol,Copper,Grooved,Copper,59.9,Vertical (Bottom Heat),Forced Convection,1.5,43.9,48.7,45.4,0.0311,146184,,
59.1,6.2,224.5,8,,,37.9,111.1,75.5,Water,Aluminum,Grooved,Aluminum,43.6,Vertical (Bottom Heat),Natural Convection,0,41.4,42.3,41.7,0.016,422433,,
27.1,3.09,111.6,10,60.4,1.3,27.9,53.5,30.2,Water,Aluminum,Grooved,Aluminum,55.1,Vertical (Bottom Heat),Natural Convection,0,32.7,33.2,32.9,0.0186,124712,19840809.3,
37.4,1.87,237.7,10,,,63.6,88.1,86,Water,Aluminum,Grooved,Aluminum,30.3,Vertical (Bottom Heat),Natural Convection,0,23.2,23.5,23.3,0.0092,648960,73459402.4,
42.7,2.13,284,8,19.3,2.6,79.7,124.2,80.1,Ammonia,Copper,Grooved,Copper,69.5,Vertical (Bottom Heat),Forced Convection,3.3,41.8,42,41.9,0.0042,1822678,,
79.3,8.62,220.6,8,,,36.6,103.5,80.5,Water,Aluminum,Grooved,Aluminum,69.4,Vertical (Bottom Heat),Natural Convection,0,30.7,32,31.2,0.0164,409430,,
127.6,17.75,121.3,8,,,28.6,59.3,33.4,Methanol,Aluminum,Grooved,Aluminum,65,Vertical (Bottom Heat),Forced Convection,2.2,24,26.4,24.8,0.0192,164222,,
94,12.37,265.5,6,8.1,3.5,40.3,96.2,129,Water,Aluminum,Grooved,Aluminum,39.3,Horizontal,Natural Convection,0,25,27.1,25.9,0.0223,706582,,97.6
131.9,18.29,264.6,4,5.5,2.3,57.4,103.6,103.6,Water,Copper,Grooved,Copper,67,Horizontal,Forced Convection,3.5,27.9,29.9,28.6,0.0152,1808500,,
173.7,14.02,167,8,,,49.3,77.9,39.8,Acetone,Copper,Grooved,Copper,48.4,Vertical (Bottom Heat),Forced Convection,2.1,38.2,39.4,38.7,0.0068,640120,,
32.3,5.18,99.5,8,29.6,1.7,24.8,44,30.7,Acetone,Copper,Grooved,Copper,65.6,Horizontal,Forced Convection,1.9,41.8,42.2,41.9,0.013,202735,,
25,5.44,82.7,6,,,24.4,32.1,26.2,Water,Copper,Grooved,Copper,60.7,Vertical (Bottom Heat),Forced Convection,3.7,33.1,33.6,33.3,0.022,199700,,
50.6,7.37,209.8,4,11.4,1.1,54.6,66,89.2,Water,Copper,Grooved,Copper,35.3,Vertical (Bottom Heat),Natural Convection,0,39.5,40.7,40.2,0.0236,1396967,,
16.7,2.8,210.8,6,,,31.6,78.5,100.7,Water,Copper,Grooved,Copper,34.4,Horizontal,Natural Convection,0,23.4,23.7,23.5,0.0177,739771,65637553.4,
57.4,2.72,332.8,10,,,67.1,159.3,106.4,Water,Aluminum,Grooved,Aluminum,64.7,Vertical (Bottom Heat),Forced Convection,4,20.3,20.6,20.4,0.0058,928973,,
125.6,19.68,232.7,4,,,50.8,108.4,73.5,Water,Aluminum,Grooved,Aluminum,67.1,Vertical (Bottom Heat),Forced Convection,2.5,34.5,37.9,35.5,0.0274,787138,551950887.7,
75,5.13,163.6,10,,,46.5,78.1,39,Water,Copper,Grooved,Copper,48.8,Vertical (Bottom Heat),Natural Convection,0,28.3,28.8,28.5,0.0069,502197,,
9.2,0.75,185.2,10,,,38.8,63.4,83,Ammonia,Aluminum,Grooved,Aluminum,36.9,Vertical (Bottom Heat),Forced Convection,1.3,34.3,34.4,34.3,0.0112,327916,,97.8
97,9.78,261.3,6,,,52.6,99.7,109,Methanol,Aluminum,Grooved,Aluminum,58,Vertical (Bottom Heat),Natural Convection,0,30.3,32.2,31.2,0.0196,864848,,
171.1,20.44,124.8,8,,,33.3,52.3,39.2,Water,Copper,Grooved,Copper,44.3,Anti-Gravity (Top Heat),Natural Convection,0,26.4,28.6,27.5,0.0131,343109,,95.5
174.6,30.81,213.4,4,,,45.1,68.6,99.7,Water,Aluminum,Grooved,Aluminum,50.2,Horizontal,Forced Convection,1.6,22.7,28.8,25,0.0351,714556,,96.1
99.4,5.3,272.3,10,,,59.7,98.6,114,Water,Copper,Grooved,Copper,46.3,Horizontal,Natural Convection,0,38.7,39.3,39,0.0056,1229394,,
6.9,1.73,108.4,4,4.3,2.9,31.8,49.7,26.9,Water,Aluminum,Grooved,Aluminum,38.5,Anti-Gravity (Top Heat),Forced Convection,3.9,34.7,35,34.8,0.0487,217714,18329904.2,
54,6.38,211.2,6,,,44.9,89.7,76.6,Methanol,Copper,Grooved,Copper,52.5,Vertical (Bottom Heat),Natural Convection,0,29.3,30,29.6,0.0126,970638,,
81.6,3.99,279.7,8,20.1,2.5,81.4,96.6,101.7,Water,Copper,Grooved,Copper,60.5,Vertical (Bottom Heat),Natural Convection,0,20.2,20.7,20.5,0.0059,1950455,,94.5
166.6,10.16,264.8,10,20.7,3.8,52.2,102.9,109.7,Methanol,Copper,Grooved,Copper,32.7,Vertical (Bottom Heat),Forced Convection,1.8,37.2,38,37.5,0.0046,1041501,,
49.2,2.61,296,8,14,3.6,74.9,89.9,131.2,Ammonia,Copper,Grooved,Copper,58.5,Vertical (Bottom Heat),Natural Convection,0,28.4,28.7,28.6,0.0065,2009810,127237577.1,
35.6,3.58,319.4,6,,,52.7,118.3,148.4,Ammonia,Copper,Grooved,Copper,62.6,Vertical (Bottom Heat),Forced Convection,2.7,21.8,22.1,21.9,0.0087,1852450,,94.5
46.9,3.04,184.8,10,,,49.1,74.6,61.1,Water,Copper,Grooved,Copper,49.4,Vertical (Bottom Heat),Natural Convection,0,23.2,23.5,23.3,0.007,643599,67904570.6,96.8
172,12.59,168.4,10,,,43.5,84,40.9,Water,Copper,Grooved,Copper,57.8,Vertical (Bottom Heat),Forced Convection,3.5,37,38,37.4,0.0056,485352,119715087.1,95
83.6,7.03,333.4,4,4.8,2.6,94.6,145.4,93.4,Water,Copper,Grooved,Copper,51.1,Horizontal,Forced Convection,2.3,41.7,42.6,42.1,0.0105,3454959,504691528.1,
100.2,13.03,198.7,8,16.8,3,30.6,74.6,93.5,Acetone,Copper,Grooved,Copper,50.1,Vertical (Bottom Heat),Natural Convection,0,38.9,40.2,39.5,0.0125,561393,,
135.9,7.26,309.4,10,37.4,2.1,59.6,149.2,100.6,Methanol,Aluminum,Grooved,Aluminum,64.6,Vertical (Bottom Heat),Forced Convection,2.9,20.4,21.2,20.6,0.0062,769576,,
55.2,3.36,278.6,8,,,65.4,123.9,89.3,Ammonia,Aluminum,Grooved,Aluminum,31.6,Vertical (Bottom Heat),Forced Convection,2.8,22,22.5,22.2,0.0082,893597,,
10.2,1.65,185.7,6,9.7,2.9,32.7,65.3,87.7,Ammonia,Copper,Grooved,Copper,59.4,Horizontal,Forced Convection,1.3,20.1,20.2,20.1,0.0142,671779,25258743.8,
78.6,7.93,222.5,6,,,52.6,75.2,94.7,Water,Aluminum,Grooved,Aluminum,64,Horizontal,Natural Convection,0,27.3,29,28.2,0.0214,741531,240409599.9,96.8
126.2,14.55,183,6,,,46,69.7,67.3,Water,Copper,Grooved,Copper,51.8,Horizontal,Forced Convection,3.9,26.8,28.2,27.4,0.0109,865336,,
166.8,44.92,98,6,11.8,2.4,19.7,48.1,30.2,Methanol,Copper,Grooved,Copper,50.4,Vertical (Bottom Heat),Forced Convection,2.1,36.8,40.6,38,0.0226,189702,,
39.1,4.58,159.2,6,,,45.3,74.4,39.5,Methanol,Aluminum,Grooved,Aluminum,31.5,Horizontal,Natural Convection,0,30.4,31.3,30.9,0.0225,399667,,
153,20.92,315.6,4,,,58.2,124.9,132.5,Water,Aluminum,Grooved,Aluminum,44.9,Horizontal,Natural Convection,0,24.1,28.9,26.3,0.0316,1319692,,97.1
60.2,5.34,124.3,10,21.2,3.7,35.9,57.1,31.3,Acetone,Aluminum,Grooved,Aluminum,44.9,Horizontal,Natural Convection,0,31.3,32.3,31.8,0.016,175907,105243533,96.2
156.2,6.64,332.3,8,,,93.6,105,133.7,Water,Aluminum,Grooved,Aluminum,68.3,Horizontal,Natural Convection,0,41,42.4,41.8,0.0088,1620600,312559806.8,
28.4,4.26,109.7,8,29.6,1.7,26.5,46.7,36.5,Water,Copper,Grooved,Copper,63.1,Anti-Gravity (Top Heat),Natural Convection,0,33.9,34.3,34.1,0.0154,243404,,
98.8,10.1,194.5,6,,,51.9,82.9,59.7,Methanol,Copper,Grooved,Copper,63.7,Vertical (Bottom Heat),Natural Convection,0,37.4,38.6,38,0.0124,990972,,
26,1.03,320.1,10,,,80.6,105,134.5,Methanol,Copper,Grooved,Copper,50.6,Vertical (Bottom Heat),Forced Convection,1.8,36.4,36.5,36.4,0.0036,1952110,308933460,
162.9,42.36,107.8,4,,,30.6,45.1,32.1,Water,Aluminum,Grooved,Aluminum,39.9,Anti-Gravity (Top Heat),Natural Convection,0,43,54.3,49.1,0.0696,216640,264112689.2,
166.6,13.29,312.7,6,17.7,1.6,66.5,147.7,98.5,Water,Copper,Grooved,Copper,42.7,Horizontal,Forced Convection,1.9,25.8,26.9,26.1,0.0068,2055155,,97.9
40.9,6.82,169.7,6,8.1,3.5,31.8,81.1,56.8,Water,Copper,Grooved,Copper,31.7,Vertical (Bottom Heat),Natural Convection,0,33.6,34.3,33.9,0.0171,541324,88252633.8,
18.4,0.75,267.9,10,56.1,1.4,78.2,130.4,59.3,Methanol,Copper,Grooved,Copper,67.3,Vertical (Bottom Heat),Forced Convection,1.1,28.6,28.7,28.7,0.0033,1363204,,
44.1,2.82,313.3,10,,,49.7,131.4,132.2,Water,Aluminum,Grooved,Aluminum,34.5,Vertical (Bottom Heat),Natural Convection,0,28.8,29.2,29,0.0096,697959,104144235.6,
117.7,19.43,80.9,8,,,24.1,24.6,32.2,Methanol,Aluminum,Grooved,Aluminum,39.1,Vertical (Bottom Heat),Forced Convection,1,32.2,35.8,34.1,0.0304,101170,,95.9
144.6,20.33,98.6,8,,,28.3,38.7,31.6,Water,Copper,Grooved,Copper,53.8,Horizontal,Forced Convection,2.3,21.5,23.3,22.2,0.0124,231492,114032681,
134.2,40.22,109.5,6,10.9,2.6,17.7,53.5,38.3,Water,Aluminum,Grooved,Aluminum,53.8,Horizontal,Forced Convection,3.3,29,34.2,30.3,0.0388,116271,,97.8
148.7,15.05,317.7,4,7.4,1.7,78.6,134.7,104.4,Water,Aluminum,Grooved,Aluminum,48.1,Vertical (Bottom Heat),Forced Convection,1.3,23.5,26.5,24.6,0.0203,1678847,,
84.2,5.23,235.2,8,14.8,3.4,64,98.2,73,Water,Copper,Grooved,Copper,32.9,Horizontal,Natural Convection,0,27.5,28.1,27.8,0.0066,1239221,166240181.6,
135.5,21.46,90.1,10,,,20.1,39.6,30.4,Acetone,Aluminum,Grooved,Aluminum,62.4,Vertical (Bottom Heat),Natural Convection,0,37.6,41,39.2,0.0251,76270,176437878.9,
164.2,26.94,255.4,4,6.6,1.9,48.5,87.7,119.2,Water,Copper,Grooved,Copper,58.4,Vertical (Bottom Heat),Forced Convection,1.5,41.4,44.4,42.4,0.0185,1554695,,
35,4.08,291.2,4,,,68.3,91.1,131.8,Water,Aluminum,Grooved,Aluminum,45.3,Horizontal,Forced Convection,2.9,39.7,40.6,40.1,0.0245,1461953,,
63.3,6.97,100.2,10,,,28.9,43,28.3,Acetone,Aluminum,Grooved,Aluminum,57,Horizontal,Forced Convection,2.8,29.5,30.5,29.9,0.0162,116944,91691768.6,
79.8,11.61,186.7,4,4.7,2.7,54.7,80.3,51.7,Water,Copper,Grooved,Copper,49.7,Vertical (Bottom Heat),Forced Convection,3.1,35.3,36.7,35.9,0.0174,1115876,,
33,1.75,201.7,10,39.3,2,60.1,75.4,66.2,Ammonia,Copper,Grooved,Copper,32.2,Horizontal,Natural Convection,0,22.3,22.5,22.4,0.006,858110,,94.7
31.3,4.17,149.4,8,,,29.9,50.3,69.2,Water,Aluminum,Grooved,Aluminum,56.9,Horizontal,Forced Convection,3.3,26.4,27,26.6,0.0188,242826,,
108.4,15.8,247.2,4,10.5,1.2,54.6,101.3,91.3,Water,Copper,Grooved,Copper,56.4,Vertical (Bottom Heat),Forced Convection,2.7,33.4,35.1,34,0.0161,1581523,,
36.5,2.67,281.8,8,15.7,3.2,54.3,101.3,126.2,Acetone,Aluminum,Grooved,Aluminum,61.6,Vertical (Bottom Heat),Forced Convection,3.4,35.3,35.7,35.5,0.0102,822226,221050445.6,
172.6,12.63,189.3,10,,,43.5,60.5,85.3,Methanol,Aluminum,Grooved,Aluminum,38.4,Vertical (Bottom Heat),Forced Convection,2.6,35.8,37.6,36.5,0.0107,376190,,96.4
177.7,10.16,273.1,10,37.4,2.1,55.7,103.3,114.1,Methanol,Aluminum,Grooved,Aluminum,49.5,Vertical (Bottom Heat),Forced Convection,2.3,32.4,33.7,32.8,0.0074,679216,,
144.6,22.13,111.8,10,20.1,3.9,20.8,49.7,41.3,Acetone,Aluminum,Grooved,Aluminum,53.8,Vertical (Bottom Heat),Forced Convection,3.3,25.5,28.1,26.2,0.0182,100280,244741048.6,
18.4,1.47,265.5,6,8.6,3.3,66.6,95.2,103.7,Methanol,Copper,Grooved,Copper,54.6,Horizontal,Forced Convection,1.5,25.8,25.9,25.8,0.0081,1846958,,
14.2,1.23,284,6,9.4,3,61,123.8,99.2,Ammonia,Aluminum,Grooved,Aluminum,61.5,Vertical (Bottom Heat),Natural Convection,0,24.8,25,24.9,0.0164,1038533,49006737.8,95.5
44.6,11.49,86.8,6,,,20.6,42,24.2,Methanol,Aluminum,Grooved,Aluminum,68.9,Vertical (Bottom Heat),Natural Convection,0,26.6,28.8,27.7,0.0488,101530,,
80.1,4.76,256.4,8,,,67,100.3,89.1,Water,Aluminum,Grooved,Aluminum,47.1,Vertical (Bottom Heat),Natural Convection,0,21.3,22.2,21.8,0.0114,860003,202303668.6,98
10.1,2.03,167.5,6,18.8,1.5,26.4,63.5,77.6,Water,Aluminum,Grooved,Aluminum,62.8,Horizontal,Natural Convection,0,33.2,33.5,33.3,0.0336,287576,,95.5
76.1,10.32,204.4,4,5.5,2.3,58.7,90.9,54.8,Water,Aluminum,Grooved,Aluminum,53.3,Horizontal,Forced Convection,1,44.5,46.6,45.3,0.0275,769943,,
20.7,5.63,96.5,6,20.2,1.4,19.5,29.8,47.2,Methanol,Aluminum,Grooved,Aluminum,35.5,Vertical (Bottom Heat),Forced Convection,1.2,25.2,26.1,25.5,0.0438,124421,159410416,
68.7,7.78,149.1,10,46.2,1.7,28.1,53.9,67.1,Acetone,Aluminum,Grooved,Aluminum,34.2,Horizontal,Forced Convection,3.3,32.5,33.5,32.8,0.0147,191311,,95.3
